PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
MEDIUM,122319930962017101023130607000420,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,122319930962017101023130607000420,2,EPC-H2,Add time control to heating system.,LOW
MEDIUM,122319930962017101023130607000420,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,122319930962017101023130607000420,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,122319930962017101023130607000420,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,122319930962017101023130607000420,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,122319930962017101023130607000420,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,122319930962017101023130607000420,4,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",MEDIUM
MEDIUM,122319930962017101023130607000420,5,EPC-H5,Add local time control to heating system.,LOW
SHORT,122319930962017101023130607000420,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,122319930962017101023130607000420,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,122319930962017101023130607000420,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,12255830402009102905490852809200,1,EPC-R4,Consider installing PV.,LOW
OTHER,12255830402009102905490852809200,1,USER,The assessor must introduce the text for the recommendation here,LOW
MEDIUM,12255830402009102905490852809200,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,12255830402009102905490852809200,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
OTHER,12255830402009102905490852809200,2,USER,Please bear in mind that the floor areas used to calculate an EPC are often different from those used by agents to calculate value as we use a different set of measuring criteria.,LOW
OTHER,12255830402009102905490852809200,3,USER,"There is more than one type of heating system in this building and caution should be exercised when acting on the recommendations in sections a, b and c as the comments could be referring to one or all of the installed systems.",LOW
OTHER,12255830402009102905490852809200,4,USER,"The recommendations for renewable energy [eg solar water heating, biomass, heat pump & Photovoltaics (PV)] in the list may seem unrealistic but, if energy prices increase & the cost of these technologies decreases there will come a point when these are viable to install. They will reduce the carbon emissions of the property if they are installed within the 10 year maximum ''shelf life'' of the EPC.",LOW
LONG,118577520442017051708374844700990,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,118577520442017051708374844700990,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,118577520442017051708374844700990,1,EPC-H2,Add time control to heating system.,LOW
MEDIUM,118577520442017051708374844700990,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,118577520442017051708374844700990,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,118577520442017051708374844700990,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,118577520442017051708374844700990,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,118577520442017051708374844700990,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,118577520442017051708374844700990,5,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
OTHER,118632110902017010610330644409920,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,118632110902017010610330644409920,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,118632110902017010610330644409920,1,EPC-W1,Install more efficient water heater.,MEDIUM
SHORT,118632110902017010610330644409920,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,118632110902017010610330644409920,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,118632110902017010610330644409920,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,118632110902017010610330644409920,4,EPC-W2,Consider replacing HWS with point of use system.,MEDIUM
LONG,118632110902017010610330644409920,5,EPC-R3,Consider installing solar water heating.,LOW
LONG,118641020542017010812545144509920,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,118641020542017010812545144509920,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,118641020542017010812545144509920,1,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,118641020542017010812545144509920,2,EPC-R4,Consider installing PV.,LOW
SHORT,118641020542017010812545144509920,2,EPC-H2,Add time control to heating system.,MEDIUM
MEDIUM,118641020542017010812545144509920,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,118641020542017010812545144509920,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,118641020542017010812545144509920,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,118641020542017010812545144509920,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,118641020542017010812545144509920,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,118641020542017010812545144509920,5,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,118641020542017010812545144509920,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,MEDIUM
MEDIUM,118641020542017010812545144509920,6,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,118641020542017010812545144509920,7,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,118644200302017010610400124909920,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
MEDIUM,118644200302017010610400124909920,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,118644200302017010610400124909920,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
OTHER,118644200302017010610400124909920,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,118644200302017010610400124909920,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
LONG,118644200302017010610400124909920,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,118644200302017010610400124909920,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,118644200302017010610400124909920,3,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,HIGH
SHORT,118644200302017010610400124909920,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,118644200302017010610400124909920,4,EPC-R4,Consider installing PV.,LOW
OTHER,118903010022017020312494892790030,1,EPC-F5,Consider switching from gas to biomass.,HIGH
LONG,118903010022017020312494892790030,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,HIGH
SHORT,118903010022017020312494892790030,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,118903010022017020312494892790030,2,EPC-R4,Consider installing PV.,LOW
OTHER,118903010022017020312494892790030,2,USER,Consider upgrading lighting to incorporate LED lamps to further reduce lighting demand.,MEDIUM
SHORT,118903010022017020312494892790030,2,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
OTHER,118903010022017020312494892790030,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,118903010022017020312494892790030,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,118903010022017020312494892790030,4,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,118903010022017020312494892790030,5,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,118903010022017020312494892790030,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,118903010022017020312494892790030,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
SHORT,118903010022017020312494892790030,8,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,118903010022017020312494892790030,9,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,118903010022017020312494892790030,10,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,118903010022017020312494892790030,11,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
LONG,119809279912017022614390202009666,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,119809279912017022614390202009666,2,EPC-R3,Consider installing solar water heating.,LOW
LONG,119809279912017022614390202009666,3,EPC-R4,Consider installing PV.,LOW
LONG,127006001712017103112065200909179,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,127006001712017103112065200909179,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,127006001712017103112065200909179,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,127006001712017103112065200909179,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,127262420742017110818061198519090,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,127262420742017110818061198519090,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
OTHER,127262420742017110818061198519090,1,USER,Insert Recommendation here,LOW
SHORT,127262420742017110818061198519090,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
LONG,127262420742017110818061198519090,2,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,127262420742017110818061198519090,2,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,127262420742017110818061198519090,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
LONG,127262420742017110818061198519090,4,EPC-W1,Install more efficient water heater.,LOW
LONG,127262420742017110818061198519090,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,127442690102017121509053250309290,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,127442690102017121509053250309290,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
OTHER,127442690102017121509053250309290,1,USER,Consider replacing existing fluorescent lighting with equivalent LED luminaires,MEDIUM
SHORT,127442690102017121509053250309290,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,127442690102017121509053250309290,2,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,127442690102017121509053250309290,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,127442690102017121509053250309290,3,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
LONG,127442690102017121509053250309290,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,127442690102017121509053250309290,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,127497130962017111514055168990791,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,127497130962017111514055168990791,1,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,127497130962017111514055168990791,2,EPC-H5,Add local time control to heating system.,LOW
LONG,127497130962017111514055168990791,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,127497130962017111514055168990791,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,127497130962017111514055168990791,5,EPC-R3,Consider installing solar water heating.,LOW
SHORT,115921480022016092220235174210210,1,EPC-L3,Replace high-pressure mercury discharge lamps with plug-in SON replacements.,LOW
MEDIUM,115921480022016092220235174210210,1,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,115921480022016092220235174210210,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,115921480022016092220235174210210,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,115921480022016092220235174210210,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,115921480022016092220235174210210,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,115921480022016092220235174210210,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,115921480022016092220235174210210,3,EPC-L6,Replace high-pressure mercury discharge lamps with complete new lamp/gear SON (DL).,LOW
LONG,115921480022016092220235174210210,4,EPC-R4,Consider installing PV.,LOW
SHORT,115921480022016092220235174210210,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,115921480022016092220235174210210,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,116110770012016100316522405909166,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,116110770012016100316522405909166,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,116110770012016100316522405909166,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,116110770012016100316522405909166,2,EPC-W3,Improve insulation on HWS storage.,LOW
MEDIUM,116110770012016100316522405909166,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,116110770012016100316522405909166,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,116110770012016100316522405909166,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,116110770012016100316522405909166,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,116110770012016100316522405909166,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,116110770012016100316522405909166,4,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,116110770012016100316522405909166,4,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
LONG,116110770012016100316522405909166,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,116110770012016100316522405909166,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
MEDIUM,116110770012016100316522405909166,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,12823450642009031812093822300970,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,12823450642009031812093822300970,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
MEDIUM,12823450642009031812093822300970,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
SHORT,12823450642009031812093822300970,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,HIGH
MEDIUM,12823450642009031812093822300970,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,12823450642009031812093822300970,2,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,12823450642009031812093822300970,3,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
SHORT,12823450642009031812093822300970,3,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
MEDIUM,12823450642009031812093822300970,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,12823450642009031812093822300970,4,EPC-H5,Add local time control to heating system.,LOW
LONG,12823450642009031812093822300970,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
MEDIUM,113632877252016062810083200009978,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,113632877252016062810083200009978,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,113632877252016062810083200009978,1,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
SHORT,113632877252016062810083200009978,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,113632877252016062810083200009978,2,EPC-H5,Add local time control to heating system.,LOW
MEDIUM,113632877252016062810083200009978,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
MEDIUM,113632877252016062810083200009978,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,113632877252016062810083200009978,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,113632877252016062810083200009978,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,113632877252016062810083200009978,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,113632877252016062810083200009978,4,EPC-H2,Add time control to heating system.,LOW
MEDIUM,113632877252016062810083200009978,4,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,113632877252016062810083200009978,5,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,113632877252016062810083200009978,5,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,11402670402009021914382409100920,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
MEDIUM,11402670402009021914382409100920,1,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
LONG,11402670402009021914382409100920,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
MEDIUM,11402670402009021914382409100920,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,11402670402009021914382409100920,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,11402670402009021914382409100920,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,11402670402009021914382409100920,3,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,11402670402009021914382409100920,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,11402670402009021914382409100920,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,11402670402009021914382409100920,4,EPC-H5,Add local time control to heating system.,MEDIUM
MEDIUM,11402670402009021914382409100920,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,11402670402009021914382409100920,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
SHORT,11402670402009021914382409100920,5,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,11402670402009021914382409100920,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,11402670402009021914382409100920,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,11402670402009021914382409100920,7,EPC-H2,Add time control to heating system.,MEDIUM
LONG,114568786212016080208112101009510,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,114568786212016080208112101009510,1,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
LONG,114568786212016080208112101009510,2,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,114568786212016080208112101009510,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,114568786212016080208112101009510,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,114568786212016080208112101009510,4,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",MEDIUM
LONG,114568786212016080208112101009510,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,114675241912016081422085009009989,1,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
MEDIUM,114675241912016081422085009009989,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,114675241912016081422085009009989,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,114675241912016081422085009009989,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,114675241912016081422085009009989,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,114675241912016081422085009009989,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,114675241912016081422085009009989,4,EPC-R1,Consider installing a ground source heat pump.,MEDIUM
LONG,114675241912016081422085009009989,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,114776420022016081522054948980490,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,114776420022016081522054948980490,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,114776420022016081522054948980490,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,114776420022016081522054948980490,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,114776420022016081522054948980490,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,114776420022016081522054948980490,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,114776420022016081522054948980490,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,114776420022016081522054948980490,4,EPC-R4,Consider installing PV.,LOW
LONG,114776420022016081522054948980490,5,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,115137050962016110721052154090750,1,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,115137050962016110721052154090750,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,115137050962016110721052154090750,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
OTHER,115137050962016110721052154090750,1,USER,Consider replacing all lamps with retrofit LED conversion kit,LOW
SHORT,115137050962016110721052154090750,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,115137050962016110721052154090750,2,EPC-R4,Consider installing PV.,LOW
SHORT,115137050962016110721052154090750,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,115137050962016110721052154090750,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,115137050962016110721052154090750,5,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,115137050962016110721052154090750,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,115137050962016110721052154090750,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,115137050962016110721052154090750,8,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,115137050962016110721052154090750,9,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,104918320022016022314081790910630,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,104918320022016022314081790910630,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
MEDIUM,104918320022016022314081790910630,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,104918320022016022314081790910630,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,104918320022016022314081790910630,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,104918320022016022314081790910630,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
